initial_depth,harm_mag,recovery_time,residual_error,integrity_min
0.2,0.5,0,2.792612177060505e-07,0.7
0.2,0.5,0,2.792612177060505e-07,0.7
0.2,0.7,0,3.936343595523084e-07,0.7
0.2,0.7,0,3.936343595523084e-07,0.7
0.2,0.7,0,3.936343595523084e-07,0.7
0.2,0.7,0,3.936343595523084e-07,0.7
0.2,0.7,0,3.936343595523084e-07,0.7
0.2,0.9,0,5.089422665527366e-07,0.7
0.2,0.9,0,5.089422665527366e-07,0.7
0.2,0.9,0,5.089422665527366e-07,0.7
0.2,0.9,0,5.089422665527366e-07,0.7
0.2,0.9,0,5.089422665527366e-07,0.7
0.25,0.1,0,4.443804790810191e-08,0.7
0.25,0.1,0,4.443804790810191e-08,0.7
0.25,0.1,0,4.443804790810191e-08,0.7
0.25,0.1,0,4.443804790810191e-08,0.7
0.25,0.1,0,4.443804790810191e-08,0.7
0.25,0.3,0,1.345534508256918e-07,0.7
0.25,0.3,0,1.345534508256918e-07,0.7
0.25,0.3,0,1.345534508256918e-07,0.7
0.25,0.3,0,1.345534508256918e-07,0.7
0.25,0.3,0,1.345534508256918e-07,0.7
0.25,0.5,0,2.260583520374837e-07,0.7
0.25,0.5,0,2.260583520374837e-07,0.7
0.25,0.5,0,2.260583520374837e-07,0.7
0.25,0.5,0,2.260583520374837e-07,0.7
0.25,0.5,0,2.260583520374837e-07,0.7
0.25,0.7,0,3.186336416938218e-07,0.7
0.25,0.7,0,3.186336416938218e-07,0.7
0.25,0.7,0,3.186336416938218e-07,0.7
0.25,0.7,0,3.186336416938218e-07,0.7
0.25,0.7,0,3.186336416938218e-07,0.7
0.25,0.9,0,4.1196097178008984e-07,0.7
0.25,0.9,0,4.1196097178008984e-07,0.7
0.25,0.9,0,4.1196097178008984e-07,0.7
0.25,0.9,0,4.1196097178008984e-07,0.7
0.25,0.9,0,4.1196097178008984e-07,0.7
0.3,0.1,0,3.7352347437291655e-08,0.7
0.3,0.1,0,3.7352347437291655e-08,0.7
0.3,0.1,0,3.7352347437291655e-08,0.7
0.3,0.1,0,3.7352347437291655e-08,0.7
0.3,0.1,0,3.7352347437291655e-08,0.7
0.3,0.3,0,1.1309568836992412e-07,0.7
0.3,0.3,0,1.1309568836992412e-07,0.7
0.3,0.3,0,1.1309568836992412e-07,0.7
0.3,0.3,0,1.1309568836992412e-07,0.7
0.3,0.3,0,1.1309568836992412e-07,0.7
0.3,0.5,0,1.9000292650339645e-07,0.7
0.3,0.5,0,1.9000292650339645e-07,0.7
0.3,0.5,0,1.9000292650339645e-07,0.7
0.3,0.5,0,1.9000292650339645e-07,0.7
0.3,0.5,0,1.9000292650339645e-07,0.7
0.3,0.7,0,2.678058856897536e-07,0.7
0.3,0.7,0,2.678058856897536e-07,0.7
0.3,0.7,0,2.678058856897536e-07,0.7
0.3,0.7,0,2.678058856897536e-07,0.7
0.3,0.7,0,2.678058856897536e-07,0.7
0.3,0.9,0,3.462370554707661e-07,0.7
0.3,0.9,0,3.462370554707661e-07,0.7
0.3,0.9,0,3.462370554707661e-07,0.7
0.3,0.9,0,3.462370554707661e-07,0.7
0.3,0.9,0,3.462370554707661e-07,0.7
0.4,0.1,0,2.8358980497245057e-08,0.7
0.4,0.1,0,2.8358980497245057e-08,0.7
0.4,0.1,0,2.8358980497245057e-08,0.7
0.4,0.1,0,2.8358980497245057e-08,0.7
0.4,0.1,0,2.8358980497245057e-08,0.7
0.4,0.3,0,8.586091659879003e-08,0.7
0.4,0.3,0,8.586091659879003e-08,0.7
0.4,0.3,0,8.586091659879003e-08,0.7
0.4,0.3,0,8.586091659879003e-08,0.7
0.4,0.3,0,8.586091659879003e-08,0.7
0.4,0.5,0,1.4424042271699022e-07,0.7
0.4,0.5,0,1.4424042271699022e-07,0.7
0.4,0.5,0,1.4424042271699022e-07,0.7
0.4,0.5,0,1.4424042271699022e-07,0.7
0.4,0.5,0,1.4424042271699022e-07,0.7
0.4,0.7,0,2.0329396899221308e-07,0.7
0.4,0.7,0,2.0329396899221308e-07,0.7
0.4,0.7,0,2.0329396899221308e-07,0.7
0.4,0.7,0,2.0329396899221308e-07,0.7
0.4,0.7,0,2.0329396899221308e-07,0.7
0.4,0.9,0,2.6281857201659875e-07,0.7
0.4,0.9,0,2.6281857201659875e-07,0.7
0.4,0.9,0,2.6281857201659875e-07,0.7
0.4,0.9,0,2.6281857201659875e-07,0.7
0.4,0.9,0,2.6281857201659875e-07,0.7
0.5,0.1,0,2.2885292105812027e-08,0.7
