flux,trial,initial_dist,converge_time,path_efficiency,final_error
0.9,5,4.637037803216633,24,1.0000000000000007,1.9665368871011724e-15
0.9,6,4.820227297005598,500,1.003379038328569,0.08851017430678942
0.9,7,6.237462716299221,500,1.0053311499262791,0.09500315834253747
0.9,8,5.820414729460825,28,1.0006994879488735,0.016988413411732406
0.9,9,4.055609403677137,23,1.0000000000000002,2.0175840826237853e-15
0.9,10,4.621972287582379,24,1.0000000000000016,2.334110243043934e-15
0.9,11,5.456076636375066,500,1.0025187847474089,0.04097749380311644
0.9,12,5.109845163168718,500,1.0030068904457021,0.03425568079501317
0.9,13,4.85432558602923,24,1.0000000000000013,2.494915946531976e-15
0.9,14,5.662618169621499,500,1.0031210995474602,0.05148192457497114
0.9,15,4.543147402632972,24,0.999999999999999,1.9899025015462835e-15
0.9,16,4.443108088127191,24,1.0002452240198183,0.005196180825504104
0.9,17,6.089505025643633,25,1.0002734233756192,0.008699658005087763
0.9,18,5.4960413074091505,25,1.0000000000000002,2.3551795754951848e-15
0.9,19,4.4976440294308455,500,1.0003057832020286,0.07882039907104144
