awareness,resistance,effect_mag,energy_cost,efficiency
0.5,0.5,0.6189735022865857,0.7427682027439017,0.8333333333333346
0.5,0.5,0.6354582656469621,0.7541833062587848,0.8425780050731004
0.5,0.5,0.6273091956702226,0.7509236782680895,0.8353834268710663
0.5,0.5,0.6312057458479146,0.7524822983391668,0.8388313548917676
0.5,0.5,0.623142691021731,0.7477712292260765,0.8333333333333341
0.5,0.5,0.6154193331412441,0.7385031997694927,0.8333333333333335
0.5,0.5,0.6324623413824644,0.7529849365529862,0.8399402307803792
0.5,0.5,0.6218712750142634,0.7462455300171158,0.8333333333333337
0.5,0.5,0.6310293299040755,0.7524117319616304,0.8386755590039832
0.7,0.1,1.5622908416070067,0.8471757425793351,1.8441165900836727
0.7,0.1,1.5707963267948966,0.8498078848226707,1.8484134530272975
0.7,0.1,1.5707963267948966,0.8519734544945654,1.8437151046293736
0.7,0.1,1.5614542487336296,0.8469898330519174,1.843533638541229
0.7,0.1,1.5707963267948966,0.8529906665881573,1.8415164295734454
0.7,0.1,1.5707963267948966,0.8527766018550653,1.8419786886482412
0.7,0.1,1.5707963267948966,0.8504031025090755,1.8471197037738147
0.7,0.1,1.5707963267948966,0.8499174076089973,1.8481752611867177
0.7,0.1,1.5626825058250016,0.8472627790722234,1.8443894201704258
0.7,0.1,1.5640990328488336,0.8475775628552968,1.8453756934996464
0.7,0.3,1.2177908169413416,0.8479402334118111,1.4361752974515465
0.7,0.3,1.2160347483274263,0.8474384995221218,1.4349533907335568
0.7,0.3,1.220135858304371,0.8486102452298205,1.4378047698138903
0.7,0.3,1.2115949774361567,0.8461699935531874,1.4318576487787025
0.7,0.3,1.2333624256032336,0.8523892644580668,1.4469473948470977
0.7,0.3,1.2211890346602492,0.8489111527600712,1.438535741567051
0.7,0.3,1.2330788076469599,0.8523082307562746,1.4467521996740755
0.7,0.3,1.2205843585947953,0.8487383881699411,1.438116121066036
0.7,0.3,1.224836696388547,0.849953341825298,1.4410634515044989
0.7,0.3,1.2287778862377117,0.8510793960679162,1.4437876089055917
0.7,0.5,0.8731206770761322,0.8492482708304534,1.0281100439831743
0.7,0.5,0.8692721160331902,0.8477088464132756,1.0254371176037038
0.7,0.5,0.8749042601208648,0.8499617040483456,1.0293455057489278
0.7,0.5,0.8795522610459017,0.8518209044183607,1.03255538398236
0.7,0.5,0.8730536429450266,0.8492214571780112,1.028063569950541
0.7,0.5,0.8808915623812825,0.852356624952513,1.0334776977070592
0.7,0.5,0.8758237541152467,0.8503295016460986,1.0299816158557307
0.7,0.5,0.8780711113168396,0.8512284445267357,1.031534034092373
0.7,0.5,0.880489569609527,0.8521958278438102,1.0332009860190285
0.7,0.5,0.8688181683691911,0.8475272673476766,1.0251211988590574
0.9,0.1,1.5707963267948966,0.9490102416496209,1.655194283324544
0.9,0.1,1.5707963267948966,0.9515514135279188,1.6507739933579626
0.9,0.1,1.5707963267948966,0.9515509838473986,1.6507747387782714
0.9,0.1,1.5707963267948966,0.9493736801117183,1.6545606431916797
0.9,0.1,1.5707963267948966,0.9490206156325771,1.655176189979677
0.9,0.1,1.5707963267948966,0.9500136352645732,1.6534460859158502
0.9,0.1,1.5707963267948966,0.9500799599249248,1.653330659578401
0.9,0.1,1.5707963267948966,0.9503491999912435,1.6528622603242786
0.9,0.1,1.5707963267948966,0.9497942271587951,1.6538280417788607
0.9,0.1,1.5707963267948966,0.949968000679676,1.653525514197357
0.9,0.3,1.5707963267948966,0.9498590880003397,1.6537151106294776
0.9,0.3,1.5707963267948966,0.9497917193777836,1.6538324084610236
0.9,0.3,1.5707963267948966,0.950117767391087,1.6532648695836105
0.9,0.3,1.5707963267948966,0.9497897976104386,1.6538357547605151
0.9,0.3,1.5707963267948966,0.9498781374807534,1.653681945939854
0.9,0.3,1.5689374824966125,0.9482678521418897,1.6545298661689227
0.9,0.3,1.5707963267948966,0.9498321634605724,1.6537619878778724
0.9,0.3,1.5707963267948966,0.9499292862571618,1.6535929037244732
0.9,0.3,1.5707963267948966,0.9488305006304654,1.655507833855632
0.9,0.3,1.5707963267948966,0.9501441045007204,1.65321904262124
0.9,0.5,1.1255167054284412,0.9502066821713764,1.1844967274450786
0.9,0.5,1.121267694784867,0.9485070779139468,1.1821395126021335
0.9,0.5,1.1260331536480361,0.9504132614592145,1.184782661722527
0.9,0.5,1.1241217040902356,0.9496486816360941,1.1837237557720317
0.9,0.5,1.1238991254132973,0.9495596501653192,1.1836003406606688
0.9,0.5,1.1223074804157958,0.948922992166318,1.1827171326660073
0.9,0.5,1.1260489852799513,0.9504195941119793,1.1847914250253548
0.9,0.5,1.1271658059068335,0.9508663223627345,1.1854093255779907
0.9,0.5,1.1275157168477445,0.9510062867390974,1.185602800496598
0.9,0.5,1.1248903429062769,0.9499561371625116,1.1841497716581821
