population_scale,diversity_entropy,trial,convergence_time,opinion_variance,mean_opinion,attenuation_factor,demographic_entropy_realized
2.0,0.3,1.0,20.0,5.3926038442842604e-33,0.29831967902733975,0.6666666666666666,0.8112781244591328
2.0,0.3,2.0,20.0,6.933347799794049e-33,0.313382917237189,0.6666666666666666,0.8112781244591328
2.0,0.3,3.0,20.0,0.03387880553227211,0.4495509725724283,0.5,2.0
2.0,0.3,4.0,20.0,2.7733391199176196e-32,0.5583221275650982,0.6666666666666666,0.8112781244591328
2.0,0.5,0.0,20.0,0.028737520404862667,0.5395625405285291,0.8333333333333333,1.0
2.0,0.5,1.0,20.0,1.0014835710813626e-32,0.42378383212411863,0.6666666666666666,-0.0
2.0,0.5,2.0,20.0,0.03632929750300932,0.47872029420503154,0.4583333333333333,1.5
2.0,0.5,3.0,15.0,0.018886217980445943,0.4418143492853488,0.4583333333333333,1.5
2.0,0.5,4.0,15.0,0.02140375414563294,0.5497643676343185,0.4583333333333333,1.5
2.0,0.7,0.0,20.0,0.057476762562214595,0.4841225859187265,0.45833333333333326,0.8112781244591328
2.0,0.7,1.0,20.0,1.8488927466117464e-32,0.5238374127863958,0.6666666666666666,1.5
2.0,0.7,2.0,20.0,0.03470964059171102,0.4815720890213929,0.4583333333333333,1.5
2.0,0.7,3.0,20.0,1.0014835710813626e-32,0.4070940489418551,0.6666666666666666,0.8112781244591328
2.0,0.7,4.0,15.0,2.7733391199176196e-32,0.5717222396018082,0.6666666666666666,1.5
2.0,0.9,0.0,20.0,0.02920936700371258,0.5073088388539971,0.5,1.0
2.0,0.9,1.0,20.0,1.8488927466117464e-32,0.559242624800397,0.6666666666666666,2.0
2.0,0.9,2.0,25.0,0.03452283129073167,0.42966039410801526,0.45833333333333326,0.8112781244591328
2.0,0.9,3.0,25.0,1.8488927466117464e-32,0.5152399051399901,0.6666666666666666,1.5
2.0,0.9,4.0,20.0,7.703719777548943e-33,0.44906437616200245,0.6666666666666666,1.5
3.0,0.1,0.0,15.0,6.162975822039155e-33,0.5373676502991696,0.6285714285714286,1.811278124459133
3.0,0.1,1.0,15.0,6.162975822039155e-33,0.5721618040153202,0.6285714285714284,1.9056390622295665
3.0,0.1,2.0,15.0,2.311115933264683e-33,0.37915678771810135,0.6285714285714286,1.2987949406953985
3.0,0.1,3.0,20.0,1.1555579666323415e-32,0.46761726400117365,0.6285714285714287,1.811278124459133
3.0,0.1,4.0,10.0,6.933347799794049e-33,0.49749721404430314,0.6285714285714284,1.4056390622295665
3.0,0.3,0.0,15.0,1.5407439555097887e-33,0.4965045065694249,0.6285714285714286,1.2987949406953985
3.0,0.3,1.0,20.0,6.162975822039155e-33,0.5140273569222087,0.6285714285714286,1.9056390622295665
3.0,0.3,2.0,25.0,0.03581821076694265,0.4628696351857377,0.59,1.75
3.0,0.3,3.0,20.0,7.703719777548943e-33,0.45656271990690545,0.6285714285714286,1.5
3.0,0.3,4.0,15.0,1.5407439555097887e-33,0.4007577137809491,0.6285714285714286,1.75
3.0,0.5,0.0,15.0,6.162975822039155e-33,0.5434324736558739,0.6285714285714286,1.2987949406953985
3.0,0.5,1.0,15.0,9.244463733058732e-33,0.624406475071393,0.6285714285714286,1.9056390622295665
3.0,0.5,2.0,15.0,6.162975822039155e-33,0.647902793940972,0.6285714285714286,1.5487949406953985
3.0,0.5,3.0,15.0,6.162975822039155e-33,0.5473126074885593,0.6285714285714284,2.0
3.0,0.5,4.0,15.0,7.703719777548943e-33,0.454869684494864,0.6285714285714286,1.561278124459133
3.0,0.7,0.0,10.0,6.162975822039155e-33,0.6172351500831333,0.6285714285714284,1.811278124459133
3.0,0.7,1.0,20.0,3.0814879110195774e-33,0.43421516815164174,0.6285714285714284,1.811278124459133
3.0,0.7,2.0,15.0,3.0814879110195774e-33,0.4380424785883996,0.6285714285714284,1.2987949406953985
3.0,0.7,3.0,15.0,6.162975822039155e-33,0.5214303324814265,0.6285714285714286,1.2987949406953985
3.0,0.7,4.0,20.0,0.04708451068182011,0.43015085649778395,0.6499999999999999,1.75
3.0,0.9,0.0,15.0,3.0814879110195774e-33,0.48981827198234995,0.6285714285714286,1.75
3.0,0.9,1.0,25.0,6.162975822039155e-33,0.5086112543705366,0.6285714285714286,1.75
3.0,0.9,2.0,20.0,6.162975822039155e-33,0.5301437935371595,0.6285714285714284,1.811278124459133
3.0,0.9,3.0,15.0,2.465190328815662e-32,0.6110606972629492,0.6285714285714284,1.9056390622295665
3.0,0.9,4.0,15.0,1.5407439555097887e-33,0.3828974579946456,0.6285714285714284,1.2987949406953985
4.0,0.1,0.0,10.0,0.0,0.5809991065145946,0.595,1.9544340029249652
4.0,0.1,1.0,10.0,1.232595164407831e-32,0.4835492228755572,0.5950000000000001,1.561278124459133
4.0,0.1,2.0,10.0,2.099263639382087e-32,0.4738839119515077,0.5950000000000001,1.771782221599798
4.0,0.1,3.0,15.0,2.7733391199176196e-32,0.43107821135843954,0.595,1.7028195311147831
